model,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,top20_precision,top20_recall,top20_lift
逻辑回归（基线）,0.612695390384624,0.6018584332741014,0.6226354755363265,0.1032919561946282,0.1060954571592869,0.3470219435736677,1.735209494160338
随机森林（候选）,0.5813081270534841,0.5710177659897743,0.591997980498081,0.0895603327606402,0.094690435115967,0.3097178683385579,1.5486783922587295
